STUDENTID,EfficientlyCompletedBlockB
2333348056,True
2333349591,True
2333350093,False
2333350883,False
2333351898,False
2333351987,False
2333353335,True
2333353491,False
2333354684,True
2333354781,True
2333354846,True
2333354871,True
2333355460,True
2333355796,True
2333356482,False
2333358019,False
2333358175,False
2333360561,False
2333361257,False
2333361354,False
2333361419,True
2333362270,False
2333362792,False
2333363896,True
2333363969,True
2333363993,False
2333364094,False
2333364744,True
2333365287,False
2333366135,False
2333366691,True
2333366887,True
2333366950,False
2333368146,True
2333368588,True
2333368740,True
2333368774,True
2333369029,True
2333369592,True
2333369941,False
2333370787,False
2333371228,True
2333372232,False
2333374804,True
2333374898,True
2333375223,True
2333375258,True
2333375550,False
2333376351,True
2333377013,False
2333377021,True
2333377102,False
2333377137,False
2333377781,False
2333377951,True
2333378044,True
2333378206,True
2333378559,False
2333379482,True
2333382033,False
2333382220,True
2333382238,True
2333382548,True
2333383404,True
